Name FOXC1	   Place                                                                                        
287  -0.720723685  Granular cell precursor cells
290  -1.055274318  Heart
292  -0.364739583  P19 embryonic carcinoma (EC) cells, differentiation Day 3+05
293  -1.3882066    P19 embryonic carcinoma (EC) cells, differentiation Day 3+30
294  -0.764439495  Cerebellum
295  -0.368041424  Cartilage cell line (ATDC5 cells)
296  -1.057356798  BMP4-induced ATDC5 cells
297  -0.166441817  CD4+ Th1 clone (R22) from a primed A1rRAG-1x/x TCR transgenic specific for H-Y+H2Ek x
298  -0.608849888  CD4+ Th1 clone (R24) from a primed A1rRAG-1x/x TCR transgenic specific for H-Y+H2Ek x
300  -0.506867366  Draining lymph nodes, skin grafted anti-HY TCR transgenic female A1rRAG-1x/x
301  -0.53176553   CD4+ Treg/Tr1-like clone from a naive A1rRAG-1x/x TCR transgenic Specific for H-Y+H2Ek
302  -0.941993879  CD4+ Treg/Tr1-like H-Y+H2Ek specific line grown from the accepted male skin grafts of female A1(M) TCR transgenic
303  -0.158799948  CD4+CD25-negative spleen cells
305  -0.941222364  CD4+CD25- spleen cells (CD3 X-linked)
306  -0.415869269  CD4+CD25+ spleen cells
307   1.345514519  Draining lymph nodes were pooled from normal CBA/Ca grafted with B10BR (multiple minorantigen mismatched) skin r 5 411 tags
309  -0.395879082  CD4+ Treg/Tr1-like clone from naive A1rRAG-1x/x TCR transgenic specific for H-Y+H2Ek x 
310   1.882424059  CD4+ Th2 clone (R24) from a primed A1rRAG-1x/x TCR transgenic specific for H-Y+H2Ek
311  -0.36012881   CD4+ Th1 clone (R22) from a primed A1rRAG-1x/x TCR transgenic specific for H-Y+H2Ek
110  -1.228264751  Normal human muscle (old)
111  -0.636357769  Normal human muscle (Young)
47    2.261388734  Leukocyte
75    1.257390774  Peritoneum, sheet (>90% mesothelial cells)
